S. No.,DISTRICT NAME,Monsoon Actual R/F (mm),Monsoon Normal R/F (mm),Departure,
1,ARARIA,805.2,1374.6,-41,
2,ARWAL,764.1,705.2,8,
3,AURANGABAD,857.1,859,0,
4,BANKA,892.3,870.6,2,
5,BEGUSARAI,876.6,1009.5,-13,
6,BHABUA,836.1,890.2,-6,
7,BHAGALPUR,1053,970.2,9,
8,BHOJPUR,408.1,889.3,-54,
9,BUXAR,796.7,785.4,1,
10,DARBHANGA,716.4,899.6,-20,
11,EAST CHAMPARAN,831.5,1055.2,-21,
12,GAYA,643.9,828.3,-22,
13,GOPALGANJ,672.1,968.6,-31,
14,JAHANABAD,709.9,832.9,-15,
15,JAMUI,732.7,936.4,-22,
16,KATIHAR,853.3,1078.9,-21,
17,KHAGARIA,1073.8,971.3,11,
18,KISHANGANJ,1392,1746.2,-20,
19,LAKHISARAI,790.8,850.3,-7,
20,MADHEPURA,711.7,1046.3,-32,
21,MADHUBANI,569,972.1,-41,
22,MONGHYR,1019.4,1019.9,0,
23,MUZAFFARPUR,504.9,967.8,-48,
24,NALANDA,617.4,852.8,-28,
25,NAWADA,631.1,826.5,-24,
26,PATNA,560,886.9,-37,
27,PURNEA,565.6,1411.8,-60,
28,ROHTAS,757.7,842.3,-10,
29,SAHARSA,702.8,1083.3,-35,
30,SAMASTIPUR,997.2,945.7,5,
31,SARAN,598,899.4,-34,
32,SHEIKHPURA,838.4,818,2,
33,SHEOHAR,751.2,1008.7,-26,
34,SITAMARHI,484.4,1060.3,-54,
35,SIWAN,522.8,901,-42,
36,SUPAUL,724.2,1085.7,-33,
37,VAISHALI,603.3,905.4,-33,
38,WEST CHAMPARAN,846.3,1232.2,-31,
