S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,149.8,340.9,-56
2,ARWAL,267.8,204.5,31
3,AURANGABAD,288.4,251,15
4,BANKA,190.8,247.7,-23
5,BEGUSARAI,72.4,273.8,-74
6,BHABUA,390.5,271.2,44
7,BHAGALPUR,117.1,260.3,-55
8,BHOJPUR,110.2,258.9,-57
9,BUXAR,128.8,232,-44
10,DARBHANGA,75.3,254.7,-70
11,EAST CHAMPARAN,45,302,-85
12,GAYA,296.2,241.6,23
13,GOPALGANJ,48.5,272.7,-82
14,JAHANABAD,178.2,238.2,-25
15,JAMUI,316.5,250.9,26
16,KATIHAR,97.5,255.8,-62
17,KHAGARIA,100,252.1,-60
18,KISHANGANJ,174.8,451.7,-61
19,LAKHISARAI,165.5,222.7,-26
20,MADHEPURA,120.2,265.9,-55
21,MADHUBANI,88.1,268.5,-67
22,MONGHYR,121.4,276.1,-56
23,MUZAFFARPUR,74.2,261.9,-72
24,NALANDA,143.7,237.7,-40
25,NAWADA,250.9,242.4,4
26,PATNA,110.5,237.8,-54
27,PURNEA,113.6,346.9,-67
28,ROHTAS,245.2,248,-1
29,SAHARSA,70.7,276,-74
30,SAMASTIPUR,73.4,254.8,-71
31,SARAN,114.5,258,-56
32,SHEIKHPURA,230.5,209.6,10
33,SHEOHAR,56,266.9,-79
34,SITAMARHI,61.6,307.3,-80
35,SIWAN,123.2,249,-51
36,SUPAUL,139.3,262.5,-47
37,VAISHALI,90.7,244.3,-63
38,WEST CHAMPARAN,89.4,355.8,-75
