S. No.,DISTRICT NAME,Monsoon Actual R/F (mm),Monsoon Normal R/F (mm),Departure
1,ARARIA,1404.6,1374.6,2
2,ARWAL,527.6,705.2,-25
3,AURANGABAD,867.7,859,1
4,BANKA,962.2,870.6,11
5,BEGUSARAI,766.1,1009.5,-24
6,BHABUA,827.4,890.2,-7
7,BHAGALPUR,979.6,970.2,1
8,BHOJPUR,546,889.3,-39
9,BUXAR,759.4,785.4,-3
10,DARBHANGA,1051,899.6,17
11,EAST CHAMPARAN,801.4,1055.2,-24
12,GAYA,735.4,828.3,-11
13,GOPALGANJ,845.4,968.6,-13
14,JAHANABAD,722.5,832.9,-13
15,JAMUI,739.7,936.4,-21
16,KATIHAR,1046.4,1078.9,-3
17,KHAGARIA,747.4,971.3,-23
18,KISHANGANJ,2037.5,1746.2,17
19,LAKHISARAI,727.7,850.3,-14
20,MADHEPURA,919.2,1046.3,-12
21,MADHUBANI,1118.7,972.1,15
22,MONGHYR,720.5,1019.9,-29
23,MUZAFFARPUR,749.6,967.8,-23
24,NALANDA,666.8,852.8,-22
25,NAWADA,628.5,826.5,-24
26,PATNA,658.1,886.9,-26
27,PURNEA,1199,1411.8,-15
28,ROHTAS,826.5,842.3,-2
29,SAHARSA,1019.5,1083.3,-6
30,SAMASTIPUR,1090.6,945.7,15
31,SARAN,807.8,899.4,-10
32,SHEIKHPURA,629.5,818,-23
33,SHEOHAR,909.4,1008.7,-10
34,SITAMARHI,881.3,1060.3,-17
35,SIWAN,575.3,901,-36
36,SUPAUL,1100.2,1085.7,1
37,VAISHALI,739.1,905.4,-18
38,WEST CHAMPARAN,1801.8,1232.2,46
