S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,93.7,262.6,-64
2,ARWAL,42.3,91.8,-54
3,AURANGABAD,55.2,126.8,-56
4,BANKA,165.2,139.5,18
5,BEGUSARAI,101.8,165.6,-39
6,BHABUA,81.1,111.7,-27
7,BHAGALPUR,156,179.5,-13
8,BHOJPUR,16.7,116.4,-86
9,BUXAR,79.4,110.6,-28
10,DARBHANGA,97,145.1,-33
11,EAST CHAMPARAN,76,177.8,-57
12,GAYA,121.5,135.4,-10
13,GOPALGANJ,51.1,142.8,-64
14,JAHANABAD,59.6,125.2,-52
15,JAMUI,49.1,147.4,-67
16,KATIHAR,185.3,211.9,-13
17,KHAGARIA,51.5,184.5,-72
18,KISHANGANJ,304.3,342.6,-11
19,LAKHISARAI,122.5,121.7,1
20,MADHEPURA,207.5,197.5,5
21,MADHUBANI,152.1,169.2,-10
22,MONGHYR,59.3,164,-64
23,MUZAFFARPUR,54,157,-66
24,NALANDA,85.6,119.2,-28
25,NAWADA,64.9,124.3,-48
26,PATNA,42,130.2,-68
27,PURNEA,214.8,279.7,-23
28,ROHTAS,73.3,115.4,-37
29,SAHARSA,117.2,195.6,-40
30,SAMASTIPUR,79.6,158.4,-50
31,SARAN,29.3,129.7,-77
32,SHEIKHPURA,35.2,130.1,-73
33,SHEOHAR,99.4,179.1,-45
34,SITAMARHI,100.3,188.9,-47
35,SIWAN,32.4,130.8,-75
36,SUPAUL,150.5,203.4,-26
37,VAISHALI,6.6,126.1,-95
38,WEST CHAMPARAN,144.7,200.8,-28
