S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,155.4,340.9,-54
2,ARWAL,78.9,204.5,-61
3,AURANGABAD,269,251,7
4,BANKA,117.5,247.7,-53
5,BEGUSARAI,106.1,273.8,-61
6,BHABUA,225.9,271.2,-17
7,BHAGALPUR,102.4,260.3,-61
8,BHOJPUR,84.7,258.9,-67
9,BUXAR,155.3,232,-33
10,DARBHANGA,126.9,254.7,-50
11,EAST CHAMPARAN,54.1,302,-82
12,GAYA,224.2,241.6,-7
13,GOPALGANJ,126.7,272.7,-54
14,JAHANABAD,191.5,238.2,-20
15,JAMUI,129.9,250.9,-48
16,KATIHAR,121.5,255.8,-52
17,KHAGARIA,98.2,252.1,-61
18,KISHANGANJ,187.1,451.7,-59
19,LAKHISARAI,101.8,222.7,-54
20,MADHEPURA,95.5,265.9,-64
21,MADHUBANI,102,268.5,-62
22,MONGHYR,109.8,276.1,-60
23,MUZAFFARPUR,73.4,261.9,-72
24,NALANDA,134.7,237.7,-43
25,NAWADA,165.8,242.4,-32
26,PATNA,107.9,237.8,-55
27,PURNEA,193.6,346.9,-44
28,ROHTAS,189.6,248,-24
29,SAHARSA,155.2,276,-44
30,SAMASTIPUR,228,254.8,-11
31,SARAN,121.6,258,-53
32,SHEIKHPURA,102.4,209.6,-51
33,SHEOHAR,93.8,266.9,-65
34,SITAMARHI,56.5,307.3,-82
35,SIWAN,82.4,249,-67
36,SUPAUL,114.6,262.5,-56
37,VAISHALI,132,244.3,-46
38,WEST CHAMPARAN,154,355.8,-57
