S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,197.1,487.1,-60
2,ARWAL,55.9,249.1,-78
3,AURANGABAD,120.4,293.5,-59
4,BANKA,109.1,284.7,-62
5,BEGUSARAI,173.9,329.1,-47
6,BHABUA,112.6,286,-61
7,BHAGALPUR,54.8,310.7,-82
8,BHOJPUR,161.5,306.8,-47
9,BUXAR,63.2,270.6,-77
10,DARBHANGA,124.9,313.2,-60
11,EAST CHAMPARAN,127.8,364.3,-65
12,GAYA,93.6,276.6,-66
13,GOPALGANJ,112.2,336.3,-67
14,JAHANABAD,122,284.4,-57
15,JAMUI,113.3,319.4,-65
16,KATIHAR,118.8,349.2,-66
17,KHAGARIA,67,309,-78
18,KISHANGANJ,264.4,597.4,-56
19,LAKHISARAI,105.3,305.3,-66
20,MADHEPURA,58.1,332.8,-83
21,MADHUBANI,154.8,353.5,-56
22,MONGHYR,55.2,353.9,-84
23,MUZAFFARPUR,170.4,332.2,-49
24,NALANDA,133.5,304.3,-56
25,NAWADA,155.1,281.4,-45
26,PATNA,167.4,315.6,-47
27,PURNEA,151,476.3,-68
28,ROHTAS,112.7,288.8,-61
29,SAHARSA,116,375.3,-69
30,SAMASTIPUR,158.8,309.5,-49
31,SARAN,118.6,315.9,-62
32,SHEIKHPURA,110.6,296.6,-63
33,SHEOHAR,113.9,356.7,-68
34,SITAMARHI,74.4,375.5,-80
35,SIWAN,159.7,308.3,-48
36,SUPAUL,223.5,391.3,-43
37,VAISHALI,232,335.6,-31
38,WEST CHAMPARAN,179.3,438.5,-59
