MONTH,DISTRICT NAME,Monsoon Actual R/F (mm),Monsoon Normal R/F (mm),Departure
June,ARARIA,1322.6,1374.6,-4
June,ARWAL,406.2,705.2,-42
June,AURANGABAD,611.9,859,-29
June,BANKA,596.4,870.6,-31
June,BEGUSARAI,641.3,1009.5,-36
June,BHABUA,613.8,890.2,-31
June,BHAGALPUR,400.1,970.2,-59
June,BHOJPUR,613.5,889.3,-31
June,BUXAR,544.2,785.4,-31
June,DARBHANGA,620.8,899.6,-31
June,EAST CHAMPARAN,723.2,1055.2,-31
June,GAYA,561.4,828.3,-32
June,GOPALGANJ,669.3,968.6,-31
June,JAHANABAD,538.4,832.9,-35
June,JAMUI,602.5,936.4,-36
June,KATIHAR,556.8,1078.9,-48
June,KHAGARIA,531.3,971.3,-45
June,KISHANGANJ,1643,1746.2,-6
June,LAKHISARAI,390.5,850.3,-54
June,MADHEPURA,732.4,1046.3,-30
June,MADHUBANI,668.9,972.1,-31
June,MONGHYR,549.6,1019.9,-46
June,MUZAFFARPUR,698.7,967.8,-28
June,NALANDA,610.9,852.8,-28
June,NAWADA,666.7,826.5,-19
June,PATNA,589.2,886.9,-34
June,PURNEA,971.1,1411.8,-31
June,ROHTAS,522.2,842.3,-38
June,SAHARSA,556.8,1083.3,-49
June,SAMASTIPUR,673.9,945.7,-29
June,SARAN,454.3,899.4,-49
June,SHEIKHPURA,404.9,818,-51
June,SHEOHAR,571.9,1008.7,-43
June,SITAMARHI,496.1,1060.3,-53
June,SIWAN,755.9,901,-16
June,SUPAUL,1002.1,1085.7,-8
June,VAISHALI,662.4,905.4,-27
June,WEST CHAMPARAN,972.3,1232.2,-21
July,ARARIA,197.1,487.1,-60
July,ARWAL,55.9,249.1,-78
July,AURANGABAD,120.4,293.5,-59
July,BANKA,109.1,284.7,-62
July,BEGUSARAI,173.9,329.1,-47
July,BHABUA,112.6,286,-61
July,BHAGALPUR,54.8,310.7,-82
July,BHOJPUR,161.5,306.8,-47
July,BUXAR,63.2,270.6,-77
July,DARBHANGA,124.9,313.2,-60
July,EAST CHAMPARAN,127.8,364.3,-65
July,GAYA,93.6,276.6,-66
July,GOPALGANJ,112.2,336.3,-67
July,JAHANABAD,122,284.4,-57
July,JAMUI,113.3,319.4,-65
July,KATIHAR,118.8,349.2,-66
July,KHAGARIA,67,309,-78
July,KISHANGANJ,264.4,597.4,-56
July,LAKHISARAI,105.3,305.3,-66
July,MADHEPURA,58.1,332.8,-83
July,MADHUBANI,154.8,353.5,-56
July,MONGHYR,55.2,353.9,-84
July,MUZAFFARPUR,170.4,332.2,-49
