Year,Actual,Normal,Departure
2002,1004,1024.3,-2
2003,1140,1024.3,12
2004,934,1024.3,-9
2005,853,1024.3,-17
2006,913,1024.3,-11
2007,1343,1024.3,32
2008,1043,1024.3,2
2009,752,1024.3,-27
2010,796,1024.3,-23
2011,1059,1027.6,3
2012,813,1027.6,-21
2013,722,1027.6,-31
2014,849,1027.6,-18
2015,745,1027.6,-28
2016,975,1027.6,-5
2017,937,1027.6,-9
2018,771,1027.6,-25
2019,1050,992.2,6
2020,1272.5,992.2,28
2021,1044.5,992.2,3
2022,683.3,992.2,-31
2023,760.5,992.2,-23
2024,798.2,992.2,-20
2025,686.3,992.2,-31
